score,word
-1.3154518140774898,废
-0.4629495147648794,刷牙
-0.4244055388503368,住
-0.19649841802788587,拿
-0.03784234714053593,明显
-0.13374577655155107,迷惑
-0.3743179535775291,行为
0.035242553000275,挑
-0.2806288039417351,卫生
-0.808340153170899,脏
0.05177707711882325,装
0.3045355899317,看起来
-0.6656942608916636,弄
0.3757366831435679,干净
0.6626897578235882,宽
-0.4469578346797795,整
-0.6281330610888889,绑架
-0.3425823620148389,发生
-0.28822124082084893,讲
-0.2945044085528728,是否
1.125637111085825,值得
-0.2612711632804961,实话
-1.0123430804076268,冷
0.5701288085741909,了解
0.3609542209745079,营销
0.8933836333134518,搞笑
0.4073708986707497,吻
0.8193469780398418,收到
0.37574826508801423,拍
-0.5636795434541287,盲
0.23853306329738128,稳
0.5733391847157738,善良
